data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2023,53004947,,51
2023,54831606,,51
2023,55989831,,51
2023,50390123,,51
2023,50390114,,52
2023,50390134,,51
2023,50390135,,51
2023,50390122,,51
2023,50390137,,51
2023,50390148,,51
2023,50390159,,51
2023,50390128,,51
2023,50390140,,51
2023,50390146,,51
2023,50865406,,51
2023,50865413,,51
2023,50865415,,51
2023,50865430,,51
2023,50865444,,51
2023,50865456,,51
2023,50865452,,51
2023,50865457,,51
2023,50865575,,51
2023,50865468,,51
2023,50865484,,51
2023,50865478,,51
2023,51389143,,51
2023,51389145,,51
2023,51389352,,51
2023,51389353,,51
2023,51389160,,51
2023,51389171,,51
2023,51389175,,51
2023,51389234,,52
2023,51389190,,51
2023,51389208,,51
2023,51389211,,51
2023,51389217,,51
2023,51389218,,51
2023,51749862,,51
2023,51749892,,51
2023,51749893,,51
2023,51749886,,51
2023,51749952,,51
2023,51749902,,51
2023,51749924,,51
2023,51749955,,51
2023,51749922,,51
2023,51749927,,51
2023,51749935,,51
2023,51749954,,51
2023,51749976,,51
2023,51749939,,51
2023,51750065,,51
2023,51749978,,51
2023,52164403,,51
2023,52164435,,51
2023,52164414,,51
2023,52164441,,51
2023,52164442,,51
2023,52164443,,52
2023,52164444,,51
2023,52164453,,51
2023,52164498,,51
2023,52164501,,51
2023,52644756,,51
2023,52644757,,51
2023,52644737,,51
2023,52644742,,51
2023,52644743,,51
2023,52644750,,51
2023,52644755,,51
2023,52644775,,51
2023,52644787,,51
2023,52644796,,51
2023,52644810,,51
2023,52644817,,51
2023,52644819,,51
2023,52644843,,51
2023,52644834,,51
2023,53007354,,51
2023,53007389,,51
2023,53007401,,51
2023,53007397,,51
2023,53007419,,51
2023,53007421,,51
2023,53007429,,3
2023,53007398,,51
2023,53007414,,51
2023,53007426,,51
2023,53007436,,52
2023,53007442,,51
2023,53007469,,51
2023,53007466,,51
2023,53007446,,51
2023,53007468,,51
2023,53007500,,51
2023,53007478,,52
2023,53007479,,52
2023,53007495,,51
2023,53007513,,51
2023,53007534,,51
2023,53522632,,51
2023,53522670,,51
2023,53522673,,51
2023,53522674,,51
2023,53522675,,51
2023,53522683,,51
2023,53522711,,52
2023,53522724,,51
2023,53939091,,51
2023,53939092,,51
2023,53939095,,51
2023,54833464,,51
2023,53939110,,51
2023,53939136,,51
2023,53939100,,51
2023,53939109,,51
2023,53939113,,51
2023,53939114,,52
2023,54833448,,51
2023,54833411,,51
2023,55501838,,51
2023,54833488,,51
2023,54833500,,51
2023,54833456,,51
2023,54833473,,52
2023,55501881,,51
2023,55501910,,51
2023,55501920,,51
2023,55501883,,51
2023,55991062,,52
2023,55991069,,1
2023,55991124,,51
2023,55991143,,51
2023,55991144,,51
2023,55991068,,51
2023,55991082,,51
2023,55991101,,51
2023,55991163,,52
2023,55991166,,51
2023,55991167,,51
2023,50390205,,51
2023,50390158,,51
2023,52165016,,51
2023,52165017,,51
2023,52165021,,51
2023,52165023,,51
2023,52164889,,51
2023,52164895,,51
2023,52164916,,51
2023,52164899,,51
2023,52164904,,51
2023,52164906,,51
2023,52164925,,51
2023,52164923,,51
2023,52164915,,3
2023,53008127,,51
2023,52164920,,51
2023,52164938,,51
2023,52164939,,51
2023,53008062,,51
2023,53008073,,51
2023,53008081,,51
2023,53008091,,51
2023,53008092,,51
2023,53522904,,3
2023,53522909,,51
2023,53522922,,51
2023,53522953,,51
2023,53522898,,3
2023,53522927,,51
2023,53522940,,51
2023,53522903,,51
2023,53522934,,51
2023,53522943,,51
2023,53522905,,51
2023,53522912,,51
2023,54834044,,51
2023,54834064,,51
2023,54833982,,51
2023,54833991,,51
2023,54834016,,51
2023,54834037,,51
2023,55502463,,51
2023,55502389,,52
2023,55502419,,51
2023,50866393,,51
2023,51390037,,51
2023,51390040,,51
2023,51390042,,3
2023,51390047,,51
2023,51390052,,51
2023,52165586,,51
2023,52165596,,51
2023,52165606,,51
2023,52165642,,51
2023,53009142,,51
2023,53009143,,51
2023,53009152,,51
2023,53009163,,51
2023,53009164,,51
2023,53009127,,51
2023,53009128,,51
2023,53522979,,1
2023,53522995,,51
2023,53523016,,51
2023,53522970,,1
2023,53522977,,51
2023,53939966,,51
2023,53939974,,51
2023,53939953,,51
2023,53939958,,9
2023,53939980,,51
2023,53939991,,51
2023,53939952,,51
2023,54834498,,51
2023,54834507,,9
2023,54834508,,9
2023,54834516,,51
2023,54834527,,51
2023,55503076,,51
2023,55991715,,3
2023,55991725,,51
2023,56646876,,3
2023,56646897,,51
2023,51750960,,51
2023,52165099,,1
2023,52165104,,51
2023,55991527,,51
2023,50864889,,51
2023,50864890,,51
2023,50864891,,51
2023,50864894,,51
2023,51388266,,51
2023,51388267,,51
2023,50389410,,51
2023,50389388,,51
2023,50389389,,51
2023,50389400,,51
2023,50389416,,52
2023,50389416,,53
2023,50389430,,53
2023,50864946,,51
2023,51388275,,52
