data_year,criminal_act_id,offense_id
2023,6,198632327
2023,1,204068534
2023,1,202597060
2023,8,205717535
2023,9,209007441
2023,6,209007592
2023,6,209007593
2023,9,209007617
2023,9,215159896
2023,9,212626839
2023,9,215159623
2023,9,218877862
2023,9,218877895
2023,9,221311697
2023,1,198636620
2023,3,198636902
2023,6,198637007
2023,6,198637008
2023,6,198636955
2023,9,198637019
2023,6,198636770
2023,9,198636844
2023,8,198636805
2023,9,198636896
2023,9,198637004
2023,9,198637090
2023,9,198637114
2023,9,198637188
2023,6,198637022
2023,6,198637142
2023,6,198637045
2023,1,198637079
2023,9,200595509
2023,6,200595533
2023,6,200595582
2023,9,200595630
2023,6,200595664
2023,6,200596113
2023,6,200595689
2023,6,200595728
2023,6,200595743
2023,6,200595715
2023,1,202602807
2023,6,202602809
2023,6,202602810
2023,9,202602818
2023,6,202602838
2023,9,200595746
2023,9,202602902
2023,9,202602938
2023,9,202603028
2023,10,202603036
2023,8,202602951
2023,6,202603187
2023,9,202602971
2023,6,202602991
2023,6,202603074
2023,6,204073820
2023,6,204073976
2023,6,204074045
2023,6,205722544
2023,8,204073936
2023,9,204074175
2023,9,204074067
2023,9,204074163
2023,6,204074184
2023,6,204074185
2023,6,204074060
2023,6,204074087
2023,6,204074088
2023,9,204074110
2023,8,204074113
2023,9,204074162
2023,5,204074336
2023,6,204074429
2023,6,204074125
2023,6,204074126
2023,9,204074232
2023,9,204074794
2023,6,204074795
2023,8,204074560
2023,9,205722550
2023,9,205722680
2023,9,205722595
2023,9,205722652
2023,9,205722599
2023,9,205722632
2023,6,205722689
2023,6,205722690
2023,9,205722854
2023,6,205722722
2023,6,205722829
2023,6,205722830
2023,6,205722831
2023,6,205722867
2023,9,205722872
2023,6,205722873
2023,6,205722893
2023,1,205722931
2023,9,205723020
2023,1,205722963
2023,6,205722962
2023,6,207566200
2023,6,207566201
2023,6,207566223
2023,8,207566150
2023,9,207566186
2023,9,207566311
2023,9,207566288
2023,9,207566289
2023,9,207566340
2023,9,207566312
2023,6,207566332
2023,10,207566393
2023,6,207566409
2023,6,207566410
2023,9,207566354
2023,11,207566389
2023,6,207566408
2023,9,207566431
2023,6,207566453
2023,3,207566635
2023,6,207566571
2023,1,209016297
2023,6,209016150
2023,9,209016222
2023,6,209016308
2023,6,209016309
