data_year,groupb_arrestee_id,weapon_code,weapon_id
2023,48177572,01,51
2023,48177578,01,51
2023,48177573,01,51
2023,48177581,14,7
2023,48495767,16,52
2023,48872546,01,51
2023,48872548,01,51
2023,48872541,01,51
2023,48872547,01,51
2023,49133130,01,51
2023,49133133,01,51
2023,49133129,01,51
2023,49133131,01,51
2023,49432037,01,51
2023,49766874,01,51
2023,49766873,01,51
2023,49766875,01,51
2023,50002639,01,51
2023,50002637,01,51
2023,50002635,01,51
2023,50002638,01,51
2023,50002636,01,51
2023,50373370,01,51
2023,50373354,01,51
2023,50373358,01,51
2023,50373348,16,52
2023,50373357,01,51
2023,50373362,01,51
2023,50658541,01,51
2023,50658555,01,51
2023,50658564,01,51
2023,50658548,01,51
2023,50658561,01,51
2023,50658514,01,51
2023,51064980,01,51
2023,51064981,01,51
2023,51372822,01,51
2023,51372824,01,51
2023,49764308,01,51
2023,51370499,01,51
2023,48177605,01,51
2023,48177604,16,52
2023,48872652,01,51
2023,48872654,01,51
2023,48872659,01,51
2023,48872653,01,51
2023,48872660,01,51
2023,49133611,01,51
2023,49133616,01,51
2023,49133609,01,51
2023,49133612,01,51
2023,49133615,01,51
2023,49432281,01,51
2023,49432252,01,51
2023,49432253,01,51
2023,49432285,01,51
2023,49432256,01,51
2023,49432258,01,51
2023,50002899,01,51
2023,50002904,01,51
2023,50002876,01,51
2023,50002902,01,51
2023,50002890,01,51
2023,50002892,01,51
2023,50373458,01,51
2023,50373460,01,51
2023,50373456,01,51
2023,50373459,01,51
2023,50373461,01,51
2023,50373463,01,51
2023,51065259,01,51
2023,51065260,01,51
2023,51373285,01,51
2023,51373290,01,51
2023,51373288,01,51
2023,48496257,01,51
2023,48496259,01,51
2023,48496258,01,51
2023,48496260,01,51
2023,48872892,01,51
2023,48872896,01,51
2023,48872891,01,51
2023,48872893,01,51
2023,48872895,01,51
2023,48872897,01,51
2023,48872894,01,51
2023,49432523,01,51
2023,49432526,01,51
2023,49432524,01,51
2023,49432528,01,51
2023,49432529,01,51
2023,49432532,01,51
2023,49432531,01,51
2023,50003258,01,51
2023,50003253,01,51
2023,50003250,01,51
2023,50003257,01,51
2023,50373471,01,51
2023,50373473,16,52
2023,50373476,01,51
2023,50373470,01,51
2023,50373472,01,51
2023,50373474,01,51
2023,50659718,01,51
2023,51374073,01,51
2023,51065396,01,51
2023,51065398,01,51
2023,51065399,01,51
2023,51065397,01,51
2023,51065400,01,51
2023,51374064,01,51
2023,51374076,01,51
2023,51374075,01,51
2023,51374078,01,51
2023,51374068,01,51
2023,51374079,01,51
2023,48496077,01,51
2023,51674373,16,52
2023,48495553,01,51
2023,49766471,01,51
2023,48176692,01,51
2023,52055535,01,51
2023,52055602,01,51
2023,52055540,01,51
2023,52055541,01,51
2023,52055548,01,51
2023,52055552,01,51
2023,52055559,01,51
2023,52055556,01,51
2023,52055564,01,51
2023,48177307,01,51
2023,48177369,01,51
2023,48177348,01,51
2023,48177356,01,51
2023,48872219,01,51
2023,48872221,01,51
2023,48872220,01,51
2023,48872223,01,51
2023,48495539,01,51
2023,48872230,01,51
2023,48872224,01,51
2023,48872226,01,51
2023,48872227,01,51
2023,48872229,01,51
2023,48872228,01,51
2023,48872231,01,51
2023,48872225,01,51
2023,49132768,01,51
2023,48872238,01,51
2023,49132765,01,51
2023,49132753,01,51
2023,49132769,01,51
2023,50002072,01,51
2023,50002062,01,51
2023,50002077,01,51
2023,50002069,01,51
2023,50002120,01,51
2023,50002115,01,51
2023,50372680,01,51
2023,50002094,01,51
2023,50002086,12,3
2023,50372689,16,52
2023,50372712,01,51
2023,50372681,01,51
2023,50372695,01,51
2023,50372687,01,51
2023,50372702,01,51
2023,50657713,01,51
2023,50657716,01,51
2023,50657719,01,51
2023,51064547,01,51
2023,51064571,01,51
2023,51064562,01,51
2023,51064590,01,51
2023,51064615,01,51
2023,51064578,01,51
2023,51064603,01,51
2023,51372474,01,51
2023,51372477,01,51
2023,51673765,01,51
2023,51670146,01,51
2023,50368689,01,51
2023,50368744,16,52
2023,51670841,01,51
2023,48491602,01,51
2023,48491606,01,51
2023,48491604,01,51
2023,48491605,01,51
2023,48491603,01,51
2023,48491598,01,51
2023,48491600,01,51
2023,48491610,01,51
2023,48491608,01,51
2023,48866608,01,51
2023,48866610,01,51
2023,48866609,01,51
2023,48866611,01,51
2023,48866617,01,51
2023,48174630,01,51
2023,48174629,01,51
2023,48174632,01,51
2023,48493050,01,51
2023,48493048,01,51
2023,48493052,01,51
2023,48493042,01,51
2023,48493041,01,51
2023,48493043,01,51
2023,48493046,01,51
2023,48493044,01,51
2023,48493047,01,51
2023,48869725,01,51
2023,48869771,01,51
2023,48869770,01,51
2023,48869776,01,51
2023,49133788,01,51
2023,49133790,01,51
2023,49133819,01,51
2023,49133798,01,51
2023,49133795,01,51
2023,49133799,01,51
2023,49133784,01,51
2023,49133818,01,51
2023,49133822,01,51
2023,49429502,01,51
2023,49429505,01,51
2023,49429496,01,51
2023,49429532,01,51
2023,49429534,01,51
2023,49429533,01,51
2023,49429535,01,51
2023,49429491,01,51
2023,49429504,01,51
2023,49429513,01,51
2023,49429507,01,51
2023,49429511,01,51
2023,49133791,01,51
2023,49429509,01,51
2023,49767393,01,51
2023,49767392,01,51
2023,50003102,01,51
2023,50003106,01,51
2023,50003114,01,51
2023,50003051,01,51
2023,50003103,01,51
2023,50003109,01,51
2023,50003099,01,51
2023,50003105,01,51
2023,50003111,01,51
2023,50003069,01,51
2023,50003079,01,51
2023,50003060,01,51
2023,50003076,01,51
2023,50369903,01,51
2023,50369904,01,51
2023,50369873,01,51
2023,50369880,01,51
2023,50369869,01,51
2023,50369876,01,51
2023,50369889,01,51
2023,50369897,01,51
2023,50369893,01,51
2023,50369899,01,51
2023,51061768,01,51
2023,51061765,01,51
2023,51061767,01,51
2023,51061752,01,51
2023,51061764,01,51
2023,51061766,01,51
2023,51061763,01,51
2023,51061754,01,51
2023,51061755,01,51
2023,51061757,01,51
2023,51061756,01,51
2023,51061758,01,51
2023,51061759,01,51
2023,51061761,01,51
2023,51061760,01,51
2023,51061762,01,51
2023,51373630,01,51
2023,51373627,01,51
2023,51671633,01,51
2023,51671639,01,51
2023,51671648,01,51
2023,51671635,01,51
2023,51671644,01,51
2023,51671631,01,51
2023,51671636,01,51
2023,51671641,01,51
2023,51671646,01,51
2023,51671649,01,51
2023,51671629,01,51
2023,51671630,01,51
2023,52053502,01,51
2023,52053523,01,51
2023,48177545,01,51
2023,48495726,01,51
2023,49133099,01,51
2023,49133103,01,51
2023,49133105,01,51
2023,49133104,01,51
2023,49431968,01,51
2023,49431973,01,51
2023,49431956,01,51
2023,49431976,01,51
2023,49431953,01,51
2023,49431970,01,51
2023,49766871,01,51
2023,49766870,01,51
2023,49766872,01,51
2023,49766868,01,51
2023,50002592,01,51
2023,50002594,01,51
2023,50002595,01,51
2023,50002593,11,1
2023,50002603,01,51
2023,50002596,01,51
2023,50373215,01,51
2023,50373219,01,51
2023,50373225,01,51
2023,50373229,01,51
2023,50373223,01,51
2023,50373214,01,51
2023,50373220,01,51
2023,50373226,01,51
2023,50373213,01,51
2023,50373217,01,51
2023,50373222,01,51
2023,50373228,01,51
2023,50373232,01,51
2023,50373234,01,51
2023,50373236,01,51
2023,50373233,11,1
2023,50373235,01,51
2023,50373237,01,51
2023,50373216,01,51
2023,50658509,01,51
2023,50658500,01,51
2023,50658507,01,51
2023,50658521,01,51
2023,50658531,01,51
2023,50658557,01,51
2023,50658551,01,51
2023,50658499,01,51
2023,50658504,01,51
2023,50658513,01,51
2023,50658524,01,51
2023,50658539,01,51
2023,51064979,01,51
2023,51064890,01,51
2023,51064900,01,51
2023,51064909,01,51
2023,51064895,01,51
2023,51064904,01,51
2023,51064914,01,51
2023,51064978,01,51
2023,51372800,01,51
2023,51372806,01,51
2023,51372803,01,51
2023,51372805,01,51
2023,51372814,01,51
2023,51372816,01,51
2023,51372808,01,51
2023,51372810,01,51
2023,51372812,01,51
2023,51674190,01,51
2023,51674147,01,51
2023,51674145,01,51
2023,51674153,01,51
2023,51674157,01,51
2023,51674161,01,51
2023,51674171,01,51
2023,51674178,01,51
2023,51674180,01,51
2023,51674158,01,51
2023,51674165,01,51
2023,51674174,01,51
2023,51674142,01,51
2023,51674149,01,51
2023,51674155,01,51
2023,51674162,01,51
2023,51674167,01,51
2023,51674141,01,51
2023,51674144,01,51
2023,51674148,01,51
2023,48175117,01,51
2023,48175121,01,51
2023,48175119,01,51
2023,48493719,01,51
2023,48870487,01,51
2023,48870486,01,51
2023,48870489,01,51
2023,49129242,01,51
2023,49129257,01,51
2023,49129247,01,51
2023,49763671,01,51
2023,49763675,01,51
2023,49999256,01,51
2023,49999271,01,51
2023,50370854,01,51
2023,50370786,01,51
2023,50370798,01,51
2023,50370851,11,1
2023,50370858,01,51
2023,50654776,01,51
2023,50654777,01,51
2023,50654775,01,51
2023,50654778,01,51
2023,51062660,01,51
2023,51062670,01,51
2023,51062658,01,51
2023,51062665,01,51
2023,51062669,01,51
2023,51368891,01,51
2023,51368892,01,51
2023,51368894,01,51
2023,51368895,01,51
2023,51672375,01,51
2023,51672381,01,51
2023,51672388,01,51
2023,51672373,01,51
2023,51672379,01,51
2023,51672384,01,51
2023,51672407,01,51
2023,52054081,01,51
2023,52054072,01,51
2023,49128830,01,51
2023,49128707,01,51
2023,49128841,01,51
2023,49128856,01,51
2023,49128849,01,51
2023,49128857,01,51
2023,49128827,01,51
2023,49128833,01,51
2023,49128834,01,51
2023,49128837,01,51
2023,49128843,01,51
2023,49128831,01,51
2023,49128835,01,51
2023,49128840,01,51
2023,49128839,01,51
2023,49128842,01,51
2023,49128845,01,51
2023,49128847,01,51
2023,49128846,01,51
2023,49429819,01,51
2023,49429799,01,51
2023,49429803,01,51
2023,49429806,01,51
